Day,Trip,AverageDailyBoardings,MedianPassengerLoad,Early,OnTime,Late,TotalFareCounts
Saturday,50 - 50IB - 07:10,1.3,0,5.8,94.2,0,13
Saturday,50 - 50IB - 07:40,1,0,1.9,94.2,3.9,1
Saturday,50 - 50IB - 08:10,1,1,1.9,98.1,0,6
Saturday,50 - 50IB - 08:40,1.5,0,3.2,90.3,6.5,3
Saturday,50 - 50IB - 09:10,1.5,0,1.9,92.9,5.2,3
Saturday,50 - 50IB - 09:40,1.3,1,0,100,0,5
Saturday,50 - 50IB - 10:11,2.3,2,9,90.4,0.6,14
Saturday,50 - 50IB - 10:41,1.3,2,5.2,91.6,3.2,4
Saturday,50 - 50IB - 11:11,2.3,3,9.7,85.1,5.2,16
Saturday,50 - 50IB - 11:41,1.7,2,3.3,86.7,10,12
Saturday,50 - 50IB - 12:11,2.7,1,4.5,95.5,0,16
Saturday,50 - 50IB - 12:41,2.1,2,10.5,89.5,0,27
Saturday,50 - 50IB - 13:11,1.5,2,23.7,76.3,0,12
Saturday,50 - 50IB - 13:41,1.7,2,17.6,82.4,0,10
Saturday,50 - 50IB - 14:11,1.8,3,33.3,66,0.7,11
Saturday,50 - 50IB - 14:41,1.4,4,22.9,75.8,1.3,15
Saturday,50 - 50IB - 15:11,2.3,4,25,74.3,0.7,23
Saturday,50 - 50IB - 15:41,2.1,4,36.4,63.6,0,17
Saturday,50 - 50IB - 16:11,3.7,5,15.8,84.2,0,44
Saturday,50 - 50IB - 16:41,2.8,5,38.4,61.6,0,33
Saturday,50 - 50IB - 17:11,2.1,2.5,39.6,60.4,0,15
Saturday,50 - 50IB - 17:41,2.4,4,27.5,72.5,0,24
Saturday,50 - 50IB - 18:11,2.7,4,61.2,38.8,0,24
Saturday,50 - 50IB - 18:41,2.3,3,50.7,49.3,0,7
Saturday,50 - 50OB - 07:00,0,0,12.5,87.5,0,0
Saturday,50 - 50OB - 07:30,1.5,0,11,81.4,7.6,3
Saturday,50 - 50OB - 08:00,2.4,1,10.5,89.5,0,19
Saturday,50 - 50OB - 08:30,1,0,12.5,82.5,5,3
Saturday,50 - 50OB - 09:00,1,1,11.1,82.9,6,4
Saturday,50 - 50OB - 09:30,1.9,1,10.8,88.3,0.8,13
Saturday,50 - 50OB - 10:00,4.1,2,12.4,87.6,0,33
Saturday,50 - 50OB - 10:30,2.2,2,11,86.4,2.5,20
Saturday,50 - 50OB - 11:00,3.2,3,12.7,80.5,6.8,29
Saturday,50 - 50OB - 11:30,2.6,2,11.2,74.1,14.7,29
Saturday,50 - 50OB - 12:00,3.3,2,10.7,89.3,0,43
Saturday,50 - 50OB - 12:30,3.8,2,15.3,84.7,0,42
Saturday,50 - 50OB - 13:00,2.3,3,15.1,84.9,0,27
Saturday,50 - 50OB - 13:30,4.6,2,10.8,89.2,0,55
Saturday,50 - 50OB - 14:00,6.5,4,17.8,82.2,0,85
Saturday,50 - 50OB - 14:30,3.9,4,15.4,84.6,0,51
Saturday,50 - 50OB - 15:00,5.7,5,11,89,0,74
Saturday,50 - 50OB - 15:30,4.3,4,17.1,82.9,0,52
Saturday,50 - 50OB - 16:00,7,5,12,88,0,84
Saturday,50 - 50OB - 16:30,4.6,4,16.2,83.8,0,60
Saturday,50 - 50OB - 17:00,4.2,3,18.8,81.2,0,50
Saturday,50 - 50OB - 17:30,3,3,11.2,88.8,0,39
Saturday,50 - 50OB - 18:00,4.1,3,22,78,0,45
Saturday,50 - 50OB - 18:30,3.6,3,20.3,79.7,0,43
Weekday,50 - 50IB - 07:10,1.8,1,12.2,85.4,2.4,95
Weekday,50 - 50IB - 07:40,1.7,0,2.7,95.9,1.4,60
Weekday,50 - 50IB - 08:10,2.9,2,6.9,91.1,2,175
Weekday,50 - 50IB - 08:40,1.3,1,9.9,90.1,0,34
Weekday,50 - 50IB - 09:10,1.4,1,8.7,91.3,0,39
Weekday,50 - 50IB - 09:40,2,2,8.2,91.1,0.7,85
Weekday,50 - 50IB - 10:10,3.3,2,0.7,95.4,3.9,183
Weekday,50 - 50IB - 10:40,1.7,2,0.4,93.5,6.1,61
Weekday,50 - 50IB - 11:10,2.3,3,4.9,83.8,11.4,138
Weekday,50 - 50IB - 11:40,1.8,3,1.6,96.1,2.4,54
Weekday,50 - 50IB - 12:10,1.8,3,1.5,94,4.6,58
Weekday,50 - 50IB - 12:40,1.8,3,3.6,90.9,5.5,70
Weekday,50 - 50IB - 13:10,2.8,4,2.1,96.7,1.2,147
Weekday,50 - 50IB - 13:40,2.2,3,1.2,86.5,12.3,84
Weekday,50 - 50IB - 14:10,2.2,4,0.8,86.8,12.4,97
Weekday,50 - 50IB - 14:40,2.2,4,0,92.7,7.3,104
Weekday,50 - 50IB - 15:10,2.3,5,0.4,93.8,5.8,126
Weekday,50 - 50IB - 15:40,2.2,5,1.4,93.1,5.5,92
Weekday,50 - 50IB - 16:10,2.9,6,0.1,92,7.9,169
Weekday,50 - 50IB - 16:40,4,6,0.5,90,9.5,250
Weekday,50 - 50IB - 17:10,2.1,5,0.1,58.1,41.7,89
Weekday,50 - 50IB - 17:40,2.3,5,1,90.4,8.6,68
Weekday,50 - 50IB - 18:10,3,5,0.4,96.7,2.9,150
Weekday,50 - 50IB - 18:40,1.9,4,0.5,97.6,1.9,30
Weekday,50 - 50IB - 19:10,1.7,5,0.7,97.7,1.6,67
Weekday,50 - 50IB - 19:40,1.6,5,1.9,95.2,3,24
Weekday,50 - 50IB - 20:10,1.4,4,1.3,97.2,1.5,18
Weekday,50 - 50IB - 20:40,3.2,4,2.8,93.8,3.4,68
Weekday,50 - 50OB - 07:00,1.4,0,10.2,88.2,1.5,58
Weekday,50 - 50OB - 07:30,1.6,0,11.4,85.2,3.4,73
Weekday,50 - 50OB - 08:00,1.3,0,12.6,86.2,1.2,49
Weekday,50 - 50OB - 08:30,1.7,1,11.6,88.4,0,83
Weekday,50 - 50OB - 09:00,1.7,1,11.5,87.8,0.7,69
Weekday,50 - 50OB - 09:30,3.2,2,12.4,87.6,0,184
Weekday,50 - 50OB - 10:00,2.6,2,11.4,87.5,1,159
Weekday,50 - 50OB - 10:30,2.4,2,7.7,88.5,3.8,106
Weekday,50 - 50OB - 11:00,4,3,10.9,86,3.1,249
Weekday,50 - 50OB - 11:30,3.9,4,10.5,87.4,2.1,238
Weekday,50 - 50OB - 12:00,4.4,4,11.1,88.9,0,271
Weekday,50 - 50OB - 12:30,4,4,10.9,87,2.1,246
Weekday,50 - 50OB - 13:00,3.6,4,10.9,88.6,0.5,224
Weekday,50 - 50OB - 13:30,4.3,4,9.2,85.1,5.7,235
Weekday,50 - 50OB - 14:00,4.5,5,10.3,83.9,5.8,281
Weekday,50 - 50OB - 14:30,4.4,5,10.3,84.8,5,268
Weekday,50 - 50OB - 15:00,5.4,5,10.5,89.5,0,341
Weekday,50 - 50OB - 15:30,5,5,11.3,85,3.7,303
Weekday,50 - 50OB - 16:00,6.3,7,10.7,86.7,2.6,395
Weekday,50 - 50OB - 16:30,5.2,6,11.3,87.5,1.2,299
Weekday,50 - 50OB - 17:00,4.8,6,4,62.3,33.6,258
Weekday,50 - 50OB - 17:30,3.5,5,9.7,85.1,5.2,188
Weekday,50 - 50OB - 18:00,4.3,6,10.8,89.2,0,213
Weekday,50 - 50OB - 18:30,3.7,5,10.8,88.7,0.5,187
Weekday,50 - 50OB - 19:00,3.8,5,10.8,87.5,1.7,181
Weekday,50 - 50OB - 19:30,2.9,5,11.1,86.9,2.1,109
Weekday,50 - 50OB - 20:00,2.7,4,10.9,87.8,1.4,88
Weekday,50 - 50OB - 20:30,2.1,4,11.3,84.6,4.1,50
